Date,bingo,kermit,maia,paris,sally,phoebe,islands,thepad,bill
2025-05-07 00:00:00,0,1,0,0,1,0,0,0,0,0
2025-05-08 00:00:00,0,0,0,0,0,0,1,0,0,0
2025-05-09 00:00:00,0,0,2,0,0,1,0,0,0,0
2025-05-11 00:00:00,0,0,1,0,0,0,0,0,0,0
2025-05-12 00:00:00,0,1,0,0,1,0,0,0,0,0
2025-05-13 00:00:00,0,0,1,1,0,0,0,0,0,0
2025-05-14 00:00:00,0,0,1,0,0,0,0,0,0,0
2025-05-15 00:00:00,0,1,1,2,0,0,1,0,0,0
2025-05-16 00:00:00,0,0,1,0,0,0,0,0,0,0
2025-05-17 00:00:00,0,2,0,0,0,0,3,0,0,0
2025-05-18 00:00:00,0,0,2,0,0,0,1,0,0,0
2025-05-19 00:00:00,0,1,1,0,0,0,1,0,0,0
2025-05-20 00:00:00,0,0,2,1,0,0,0,1,0,0
2025-05-21 00:00:00,0,3,2,0,0,0,0,1,0,0
2025-05-23 00:00:00,0,0,2,1,0,0,1,2,0,0
2025-05-24 00:00:00,0,2,0,0,0,0,1,3,0,0
2025-05-25 00:00:00,0,1,1,0,3,0,0,2,0,0
2025-05-26 00:00:00,0,0,0,0,0,0,0,1,0,0
2025-05-27 00:00:00,0,1,0,1,2,0,1,0,0,0
2025-05-28 00:00:00,0,0,0,0,1,0,0,2,0,0
2025-05-29 00:00:00,1,1,1,1,2,0,0,0,0,0
2025-05-30 00:00:00,1,2,2,1,1,0,2,1,0,0
2025-05-31 00:00:00,0,1,5,1,0,0,0,0,0,0
2025-06-01 00:00:00,0,1,1,0,2,0,0,2,0,0
2025-06-02 00:00:00,1,1,3,0,2,0,0,0,0,0
2025-06-03 00:00:00,1,0,2,0,1,0,0,1,0,0
2025-06-04 00:00:00,0,0,1,0,0,0,0,0,0,0
2025-06-05 00:00:00,0,1,2,0,1,0,0,1,0,0
2025-06-06 00:00:00,0,0,1,0,0,0,0,0,0,0
2025-06-08 00:00:00,0,0,1,0,0,0,0,0,0,0
2025-06-10 00:00:00,0,2,2,1,1,0,0,0,0,0
2025-06-11 00:00:00,0,0,0,2,1,0,0,0,0,0
2025-06-12 00:00:00,0,0,0,0,1,0,0,0,0,0
2025-06-13 00:00:00,0,0,0,1,0,0,0,2,0,0
2025-06-14 00:00:00,0,0,0,0,3,0,2,1,0,0
2025-06-15 00:00:00,0,1,0,0,1,0,0,1,0,0
2025-06-16 00:00:00,0,1,0,0,0,0,1,0,0,0
2025-06-17 00:00:00,0,4,0,0,0,0,0,0,0,0
2025-06-18 00:00:00,0,0,2,0,0,0,1,0,0,0
2025-06-19 00:00:00,0,1,0,0,0,0,1,1,0,0
2025-06-20 00:00:00,0,1,1,0,0,0,0,2,0,0
2025-06-21 00:00:00,0,2,0,1,1,0,0,1,0,0
2025-06-22 00:00:00,0,0,0,0,4,0,0,2,0,0
2025-06-23 00:00:00,0,1,0,1,1,0,1,3,0,0
2025-06-24 00:00:00,0,0,0,1,2,0,0,1,0,0
2025-06-25 00:00:00,0,3,0,0,0,0,1,1,0,0
2025-06-26 00:00:00,0,0,1,0,1,0,1,1,0,0
2025-06-27 00:00:00,0,2,0,1,0,0,0,0,0,0
2025-06-28 00:00:00,0,1,1,0,0,0,2,1,0,0
2025-06-29 00:00:00,0,1,0,0,0,0,1,1,0,0
2025-06-30 00:00:00,0,0,1,0,0,0,0,0,0,0
2025-07-01 00:00:00,0,2,2,0,0,0,0,0,0,0
2025-07-02 00:00:00,0,2,0,0,0,0,2,1,0,0
2025-07-03 00:00:00,0,1,1,0,0,0,0,0,0,0
2025-07-04 00:00:00,0,1,4,0,0,0,1,0,0,0
2025-07-05 00:00:00,0,3,1,1,0,0,0,1,1,0
2025-07-06 00:00:00,0,0,1,1,0,0,0,0,0,0
2025-07-07 00:00:00,0,2,1,0,0,0,0,1,0,0
2025-07-08 00:00:00,1,1,1,0,0,0,2,0,0,0
2025-07-09 00:00:00,0,0,0,0,0,0,0,1,0,0
